wage,education,experience,female,married,union,region
3200,12,5,Masculino,Solteiro,Não,1
3800,16,3,Feminino,Casado,Sim,2
4200,18,7,Masculino,Casado,Sim,3
2900,11,2,Feminino,Solteiro,Não,1
5100,20,10,Masculino,Casado,Sim,4
3500,14,4,Feminino,Solteiro,Sim,2
4800,18,8,Masculino,Casado,Não,3
3100,12,3,Feminino,Solteiro,Não,1
4500,16,6,Masculino,Casado,Sim,4
3300,13,4,Feminino,Solteiro,Não,2
5500,22,12,Masculino,Casado,Sim,3
3600,14,5,Feminino,Casado,Não,1
4100,16,7,Masculino,Solteiro,Sim,4
2800,11,1,Feminino,Solteiro,Não,2
4900,18,9,Masculino,Casado,Sim,3
3400,13,4,Feminino,Solteiro,Não,1
5200,20,11,Masculino,Casado,Sim,4
3700,15,5,Feminino,Casado,Sim,2
4400,17,8,Masculino,Solteiro,Não,3
3000,12,2,Feminino,Solteiro,Não,1
